timestamp,renewable_biomass,renewable_hydro,renewable_solar,renewable_wind,renewable_geothermal,renewable_otherrenewable,renewable,nonrenewable_coal,nonrenewable_gas,nonrenewable_nuclear,nonrenewable_oil,nonrenewable,hydropumpedstorage,unknown,region_id,country_id
2022-11-28 00:00:00,0.054865,0.196088,0.0,0.463119,0.0,0.0,0.714072,0.0,0.281286,0.0,0.0,0.281286,0.0,0.004641,continental,pt
2022-11-28 01:00:00,0.055897,0.228889,0.0,0.428376,0.0,0.0,0.713162,0.0,0.268889,0.0,0.0,0.268889,0.013333,0.004615,continental,pt
2022-11-28 02:00:00,0.061558,0.169135,0.0,0.454298,0.0,0.000171,0.685162,0.001777,0.294581,0.013577,0.000171,0.310106,0.0,0.004729,continental,pt
2022-11-28 03:00:00,0.064733,0.157807,0.0,0.44613,0.0,0.000277,0.668947,0.002858,0.300608,0.022256,0.000266,0.325988,0.0,0.005066,continental,pt
2022-11-28 04:00:00,0.062764,0.136591,0.0,0.479487,0.0,0.000289,0.679131,0.003109,0.288594,0.023872,0.000293,0.315868,0.0,0.005002,continental,pt
2022-11-28 05:00:00,0.060102,0.179217,0.0,0.463653,0.0,0.000158,0.70313,0.001885,0.276681,0.013292,0.000184,0.292042,0.0,0.00483,continental,pt
2022-11-28 06:00:00,0.056127,0.17212,2e-06,0.423875,0.0,1.9e-05,0.652143,0.00024,0.340489,0.00161,2.4e-05,0.342363,0.00103,0.004465,continental,pt
2022-11-28 07:00:00,0.049046,0.227042,0.002832,0.359124,0.0,0.0,0.638044,0.0,0.297257,0.0,0.0,0.297257,0.060525,0.004174,continental,pt
2022-11-28 08:00:00,0.053788,0.17778,0.051542,0.344114,0.0,0.000122,0.627346,0.00151,0.323219,0.009306,0.000145,0.33418,0.033982,0.004491,continental,pt
2022-11-28 09:00:00,0.051276,0.177037,0.142403,0.309504,0.0,0.000427,0.680647,0.00554,0.271274,0.03304,0.000519,0.310373,0.004964,0.004014,continental,pt
2022-11-28 10:00:00,0.050095,0.155463,0.189741,0.306262,0.0,0.000506,0.702067,0.006682,0.246899,0.039819,0.000622,0.294022,0.000133,0.003779,continental,pt
2022-11-28 11:00:00,0.048249,0.111781,0.211511,0.337747,0.0,0.000674,0.709962,0.00822,0.226632,0.050744,0.000789,0.286385,0.0,0.003652,continental,pt
2022-11-28 12:00:00,0.047814,0.096466,0.210241,0.359626,0.0,0.000638,0.714785,0.006523,0.22479,0.049464,0.000702,0.281479,0.0,0.003735,continental,pt
2022-11-28 13:00:00,0.046861,0.095093,0.20582,0.379111,0.0,0.000671,0.727556,0.004527,0.210756,0.052939,0.000722,0.268944,0.0,0.003501,continental,pt
2022-11-28 14:00:00,0.047008,0.107626,0.184882,0.361525,0.0,0.000612,0.701653,0.004966,0.236749,0.052551,0.000797,0.295063,0.0,0.003284,continental,pt
2022-11-28 15:00:00,0.047757,0.118987,0.128345,0.360842,0.0,0.00061,0.656541,0.004248,0.285504,0.048049,0.000763,0.338564,0.001401,0.003492,continental,pt
2022-11-28 16:00:00,0.046944,0.17651,0.032001,0.26988,0.0,0.0003,0.525635,0.001849,0.329265,0.02265,0.000522,0.354286,0.11627,0.003807,continental,pt
2022-11-28 17:00:00,0.040326,0.231364,0.000386,0.199529,0.0,3.2e-05,0.471637,0.000217,0.307272,0.002336,7.1e-05,0.309896,0.215037,0.003429,continental,pt
2022-11-28 18:00:00,0.035833,0.245802,0.0,0.191999,0.0,0.0,0.473634,0.0,0.272543,0.0,0.0,0.272543,0.250829,0.002995,continental,pt
2022-11-28 19:00:00,0.036567,0.27388,0.0,0.199787,0.0,0.0,0.510234,0.0,0.265139,0.0,0.0,0.265139,0.221535,0.003092,continental,pt
2022-11-28 20:00:00,0.036838,0.2933,0.0,0.189251,0.0,0.0,0.519389,0.0,0.264972,0.0,0.0,0.264972,0.212624,0.003016,continental,pt
2022-11-28 21:00:00,0.041596,0.306651,0.0,0.201814,0.0,0.0,0.550061,0.0,0.3052,0.0,0.0,0.3052,0.141354,0.003386,continental,pt
2022-11-28 22:00:00,0.045322,0.311555,0.0,0.213358,0.0,0.0,0.570235,0.0,0.303605,0.0,0.0,0.303605,0.122449,0.003711,continental,pt
2022-11-28 23:00:00,0.05538,0.291997,2.3e-05,0.23129,0.0,6.6e-05,0.578756,0.000743,0.386689,0.005381,0.000142,0.392955,0.023759,0.004529,continental,pt
