timestamp,renewable_biomass,renewable_hydro,renewable_solar,renewable_wind,renewable_geothermal,renewable_otherrenewable,renewable,nonrenewable_coal,nonrenewable_gas,nonrenewable_nuclear,nonrenewable_oil,nonrenewable,hydropumpedstorage,unknown,region_id,country_id
2022-01-05 00:00:00,0.074521,0.067084,0.000207,0.614787,0.0,0.001402,0.758001,0.014879,0.123007,0.097079,0.002979,0.237944,0.0,0.004055,continental,pt
2022-01-05 01:00:00,0.075936,0.067611,0.00021,0.614776,0.0,0.001453,0.759986,0.014404,0.1202,0.098393,0.002939,0.235936,0.0,0.004076,continental,pt
2022-01-05 02:00:00,0.077128,0.066557,0.000226,0.587422,0.0,0.001581,0.732914,0.016003,0.13806,0.105872,0.003128,0.263063,0.0,0.004024,continental,pt
2022-01-05 03:00:00,0.077685,0.068282,0.000225,0.595701,0.0,0.001557,0.74345,0.016762,0.12723,0.105378,0.003148,0.252518,0.0,0.004032,continental,pt
2022-01-05 04:00:00,0.077105,0.085734,0.000219,0.573879,0.0,0.001417,0.738354,0.017101,0.133796,0.102726,0.003069,0.256692,0.000787,0.004166,continental,pt
2022-01-05 05:00:00,0.089031,0.089597,9e-05,0.507363,0.0,0.00058,0.686661,0.007398,0.165345,0.042037,0.001291,0.216071,0.092667,0.004603,continental,pt
2022-01-05 06:00:00,0.065917,0.147505,0.0,0.298757,0.0,0.0,0.512179,0.0,0.209675,0.0,0.0,0.209675,0.275081,0.003066,continental,pt
2022-01-05 07:00:00,0.056073,0.179144,0.0,0.27658,0.0,0.0,0.511797,0.0,0.238567,0.0,0.0,0.238567,0.246869,0.002767,continental,pt
2022-01-05 08:00:00,0.050888,0.193215,0.011529,0.274052,0.0,0.0,0.529684,0.0,0.255367,0.0,0.0,0.255367,0.212298,0.00265,continental,pt
2022-01-05 09:00:00,0.050452,0.183355,0.043484,0.29587,0.0,0.0,0.573161,0.0,0.245032,0.0,0.0,0.245032,0.179226,0.002581,continental,pt
2022-01-05 10:00:00,0.054848,0.135101,0.070748,0.404312,0.0,5.5e-05,0.665064,0.000607,0.295314,0.003267,0.000107,0.299295,0.032646,0.002996,continental,pt
2022-01-05 11:00:00,0.052995,0.116969,0.065058,0.441583,0.0,0.0,0.676605,0.0,0.285443,0.0,0.0,0.285443,0.034969,0.002982,continental,pt
2022-01-05 12:00:00,0.052664,0.069568,0.060739,0.511485,0.0,1e-05,0.694466,9.9e-05,0.287172,0.00053,1.7e-05,0.287818,0.014714,0.003002,continental,pt
2022-01-05 13:00:00,0.051895,0.055835,0.051895,0.541775,0.0,0.0,0.7014,0.0,0.292623,0.0,0.0,0.292623,0.003125,0.002853,continental,pt
2022-01-05 14:00:00,0.049847,0.093192,0.04411,0.514916,0.0,0.0,0.702065,0.0,0.272565,0.0,0.0,0.272565,0.022693,0.002677,continental,pt
2022-01-05 15:00:00,0.043761,0.116135,0.024237,0.460839,0.0,0.0,0.644972,0.0,0.255947,0.0,0.0,0.255947,0.096611,0.002469,continental,pt
2022-01-05 16:00:00,0.037462,0.165833,0.007453,0.40257,0.0,0.0,0.613318,0.0,0.241542,0.0,0.0,0.241542,0.142885,0.002256,continental,pt
2022-01-05 17:00:00,0.036225,0.205088,0.000184,0.377638,0.0,0.0,0.619135,0.0,0.22426,0.0,0.0,0.22426,0.154484,0.00212,continental,pt
2022-01-05 18:00:00,0.036419,0.213834,0.0,0.349692,0.0,0.0,0.599945,0.0,0.223741,0.0,0.0,0.223741,0.174388,0.001926,continental,pt
2022-01-05 19:00:00,0.037268,0.225473,0.0,0.317898,0.0,0.0,0.580639,0.0,0.231156,0.0,0.0,0.231156,0.186155,0.00205,continental,pt
2022-01-05 20:00:00,0.041973,0.183543,0.0,0.328013,0.0,0.0,0.553529,0.0,0.259198,0.0,0.0,0.259198,0.184993,0.00228,continental,pt
2022-01-05 21:00:00,0.050591,0.152265,0.0,0.340595,0.0,0.0,0.543451,0.0,0.292959,0.0,0.0,0.292959,0.160758,0.002831,continental,pt
2022-01-05 22:00:00,0.066337,0.081089,3.1e-05,0.441879,0.0,0.000871,0.590207,0.008723,0.303489,0.047345,0.001539,0.361096,0.045119,0.003577,continental,pt
2022-01-05 23:00:00,0.074629,0.084294,4.3e-05,0.478054,0.0,0.001139,0.638159,0.012181,0.267008,0.065438,0.001976,0.346603,0.011001,0.004236,continental,pt
