timestamp,renewable_biomass,renewable_hydro,renewable_solar,renewable_wind,renewable_geothermal,renewable_otherrenewable,renewable,nonrenewable_coal,nonrenewable_gas,nonrenewable_nuclear,nonrenewable_oil,nonrenewable,hydropumpedstorage,unknown,region_id,country_id
2022-07-05 00:00:00,0.083408,0.039169,0.004557,0.203578,0.0,0.001216,0.331928,0.015016,0.557661,0.08879,0.000819,0.662286,0.0,0.005785,continental,pt
2022-07-05 01:00:00,0.084487,0.015835,0.003972,0.220682,0.0,0.001218,0.326194,0.014862,0.562002,0.088053,0.000812,0.665729,0.002327,0.00575,continental,pt
2022-07-05 02:00:00,0.080886,0.014415,0.004117,0.232591,0.0,0.001205,0.333214,0.014712,0.558882,0.087165,0.000803,0.661562,0.0,0.005223,continental,pt
2022-07-05 03:00:00,0.081268,0.015522,0.004065,0.242308,0.0,0.00119,0.344353,0.014536,0.548639,0.086076,0.000793,0.650044,0.0,0.005603,continental,pt
2022-07-05 04:00:00,0.085269,0.014322,0.002869,0.243394,0.0,0.00088,0.346734,0.010716,0.572477,0.063753,0.000587,0.647533,0.0,0.005734,continental,pt
2022-07-05 05:00:00,0.086787,0.043385,0.004986,0.239601,0.0,0.000525,0.375284,0.00662,0.572638,0.039259,0.000367,0.618884,0.0,0.005832,continental,pt
2022-07-05 06:00:00,0.082428,0.048808,0.038036,0.201402,0.0,0.000533,0.371207,0.006659,0.549626,0.039419,0.000385,0.596089,0.027159,0.005544,continental,pt
2022-07-05 07:00:00,0.076782,0.04262,0.114801,0.163973,0.0,0.000859,0.399035,0.010843,0.519724,0.064219,0.000619,0.595405,0.000167,0.005395,continental,pt
2022-07-05 08:00:00,0.071427,0.063798,0.182514,0.108032,0.0,0.000902,0.426673,0.011663,0.484528,0.068145,0.000638,0.564974,0.003362,0.004991,continental,pt
2022-07-05 09:00:00,0.069082,0.050192,0.233712,0.080153,0.0,0.000894,0.434033,0.011988,0.471197,0.067495,0.000661,0.551341,0.009791,0.004835,continental,pt
2022-07-05 10:00:00,0.069042,0.031291,0.276086,0.073589,0.0,0.000911,0.450919,0.012806,0.461803,0.068697,0.000674,0.54398,0.0,0.0051,continental,pt
2022-07-05 11:00:00,0.068372,0.025831,0.286018,0.074169,0.0,0.000875,0.455265,0.012184,0.459782,0.063819,0.000599,0.536384,0.00345,0.004903,continental,pt
2022-07-05 12:00:00,0.069311,0.014117,0.287965,0.084849,0.0,0.000874,0.457116,0.012016,0.462452,0.063049,0.000619,0.538136,0.0,0.004747,continental,pt
2022-07-05 13:00:00,0.066268,0.014899,0.287136,0.115441,0.0,0.000975,0.484719,0.013736,0.424435,0.071834,0.000705,0.51071,0.0,0.004571,continental,pt
2022-07-05 14:00:00,0.062701,0.014953,0.257714,0.162877,0.0,0.000996,0.499241,0.014172,0.407462,0.074114,0.000696,0.496444,0.0,0.004314,continental,pt
2022-07-05 15:00:00,0.059462,0.017271,0.22196,0.20678,0.0,0.001039,0.506512,0.014639,0.397627,0.076467,0.000686,0.489419,0.0,0.004068,continental,pt
2022-07-05 16:00:00,0.058114,0.012998,0.17432,0.299639,0.0,0.000888,0.545959,0.012127,0.372662,0.063348,0.000568,0.448705,0.001067,0.004269,continental,pt
2022-07-05 17:00:00,0.05647,0.014308,0.126352,0.351713,0.0,0.000891,0.549734,0.011915,0.371375,0.062282,0.000576,0.446148,0.0,0.004118,continental,pt
2022-07-05 18:00:00,0.062499,0.032365,0.068563,0.283161,0.0,0.000926,0.447514,0.012145,0.434387,0.063551,0.000587,0.51067,0.037398,0.004416,continental,pt
2022-07-05 19:00:00,0.059681,0.083415,0.011992,0.320179,0.0,0.000509,0.475776,0.006669,0.402513,0.034901,0.000322,0.444405,0.075688,0.004132,continental,pt
2022-07-05 20:00:00,0.05701,0.077859,0.003058,0.357535,0.0,0.000482,0.495944,0.006442,0.39962,0.033756,0.000312,0.44013,0.059941,0.003986,continental,pt
2022-07-05 21:00:00,0.065652,0.023221,0.004452,0.388055,0.0,0.000756,0.482136,0.010015,0.448972,0.052409,0.000484,0.51188,0.001641,0.004344,continental,pt
2022-07-05 22:00:00,0.068828,0.015177,0.004264,0.396987,0.0,0.000722,0.485978,0.00995,0.446838,0.052163,0.000459,0.50941,0.0,0.004614,continental,pt
2022-07-05 23:00:00,0.072561,0.013162,0.004589,0.400694,0.0,0.000786,0.491792,0.01119,0.433062,0.058621,0.000499,0.503372,0.0,0.004836,continental,pt
